Longitude,Latitude,Time,X,Y,Z,Speed
4.6667,4.3333,0.017,0.64604,-0.18366,0.062945,1.0105
22,6,0.08,0.65075,-0.18196,0.054462,1.0105
15.667,17.333,0.143,0.65,-0.17978,0.052816,1.0105
25.667,16.333,0.207,0.65084,-0.1821,0.050718,1.0105
13.333,5,0.269,0.6498,-0.183,0.049373,1.0105
7,23.333,0.332,0.64953,-0.18264,0.048237,1.0105
18.333,14.333,0.394,0.64712,-0.18192,0.047394,0.90526
24.667,26,0.458,0.64562,-0.183,0.046918,0.90526
16.667,7.6667,0.521,0.63275,-0.18458,0.046417,0.90526
8.6667,25.333,0.583,0.61915,-0.18689,0.047331,0.90526
13.333,16.333,0.645,0.59659,-0.18595,0.045492,0.90526
11,21,0.71,0.55828,-0.16744,0.049448,0.90526
2.3333,2,0.772,0.55766,-0.16835,0.044976,0.88421
16,16,0.835,0.5951,-0.19971,0.036608,0.88421
23.667,24,0.898,0.59572,-0.20109,0.034555,0.88421
15,13.667,0.96,0.58461,-0.19069,0.034153,0.88421
8,14.333,1.028,0.56863,-0.18097,0.031818,0.88421
24,21.333,1.09,0.58116,-0.20432,0.030196,0.88421
21.333,17.667,1.151,0.58515,-0.21402,0.031243,1.0105
21,12.667,1.215,0.56171,-0.19387,0.033886,1.0105
16,15,1.279,0.55166,-0.1843,0.032254,1.0105
15,20,1.341,0.57482,-0.20399,0.024689,1.0105
8,14,1.404,0.56457,-0.18953,0.028267,1.0105
14.667,3.3333,1.466,0.54832,-0.17429,0.027344,1.0105
26.667,7.3333,1.528,0.57069,-0.1973,0.021935,1.0526
13,24.667,1.592,0.57134,-0.19674,0.026231,1.0526
18.333,16,1.654,0.55173,-0.17954,0.025382,1.0526
13,14.667,1.716,0.5768,-0.20523,0.022486,1.0526
20,25,1.779,0.58345,-0.21064,0.02472,1.0526
5.6667,7,1.842,0.5629,-0.19115,0.026848,1.0526
6.6667,24.333,1.904,0.57685,-0.20501,0.024947,1.0526
2.6667,15,1.966,0.59403,-0.22092,0.025378,1.0526
19,20,2.028,0.5801,-0.20866,0.027327,1.0526
23,18.333,2.09,0.5702,-0.20353,0.022952,1.0526
21.333,4,2.152,0.57789,-0.21259,0.025529,1.0526
